country_code,name_en,name_pt
TUR,Turkey,Turquia
TUV,Tuvalu,Tuvalu
TWN,Taiwan,Ilha Formosa
TZA,Tanzania,Tanzânia
UGA,Uganda,Uganda
UKR,Ukraine,Ucrânia
UMI,United States Minor Outlying Islands,Ilhas Menores Distantes dos Estados Unidos
UNK,Kosovo,Kosovo
URY,Uruguay,Uruguai
USA,United States,Estados Unidos
UZB,Uzbekistan,Uzbequistão
VAT,Vatican City,Cidade do Vaticano
VCT,Saint Vincent and the Grenadines,São Vincente e Granadinas
VEN,Venezuela,Venezuela
VGB,British Virgin Islands,Ilhas Virgens
VIR,United States Virgin Islands,Ilhas Virgens dos Estados Unidos
VNM,Vietnam,Vietname
VUT,Vanuatu,Vanuatu
WLF,Wallis and Futuna,Wallis e Futuna
WSM,Samoa,Samoa
YEM,Yemen,Iémen
ZAF,South Africa,África do Sul
ZMB,Zambia,Zâmbia
ZWE,Zimbabwe,Zimbabwe
